Sale_ID,Sale_Date,Branch_Name,Car_Brand,Car_Model,Vehicle_Year,Engine_CC,Fuel_Type,Transmission,Mileage_KM,Body_Type,Color,Customer_Gender,Customer_Age,Payment_Method,Insurance_Provider,Base_Price_LKR,Discount_Rate,Final_Sale_Price_LKR,Salesperson_ID,Year,Month
22,2022-01-08,Galle Car Traders,Toyota,Aqua,2017,1300,Petrol,Manual,140001,Sedan,White,Male,33,Bank Loan,Ceylinco Insurance,13308103.81,0.033,12866794.7,2,2022,1
23,2023-01-12,Kandy Motors,Honda,CR-V,2022,1300,Hybrid,Manual,63071,Pickup,Red,Female,33,Leasing,None,4569616.71,0.076,4223205.27,1,2023,1
24,2022-05-29,Jaffna Vehicle Center,Honda,Civic,2013,1500,Electric,Manual,32125,Hatchback,Black,Female,47,Cash,Ceylinco Insurance,6359602.47,0.029,6172926.58,8,2022,5
25,2022-02-13,Galle Car Traders,Toyota,Prius,2016,1800,Hybrid,Automatic,118140,Sedan,White,Female,29,Leasing,Ceylinco Insurance,3512862.84,0.05,3337887.23,9,2022,2
26,2023-05-06,Galle Car Traders,Toyota,Vitz,2012,2000,Electric,Manual,137014,Sedan,Red,Female,47,Cash,None,5468309.51,0.077,5049701.83,2,2023,5
27,2023-03-19,Colombo Auto Hub,Mitsubishi,Lancer,2020,2000,Diesel,Manual,2839,Sedan,Black,Male,38,Bank Loan,Ceylinco Insurance,13153198.86,0.057,12404572.56,5,2023,3
28,2022-11-21,Kandy Motors,Hyundai,Tucson,2021,1500,Hybrid,Automatic,10664,Sedan,Blue,Female,47,Bank Loan,None,6726254.29,0.056,6351940.42,7,2022,11
29,2023-01-28,Galle Car Traders,Nissan,Navara,2015,1000,Diesel,Manual,22804,Sedan,Red,Male,30,Leasing,None,11696991.86,0.039,11239649.84,4,2023,1
30,2022-12-17,Galle Car Traders,Honda,Fit,2021,1800,Diesel,Manual,29647,Sedan,White,Female,31,Cash,Sri Lanka Insurance,13761061.1,0.043,13175062.3,3,2022,12
31,2023-03-25,Kandy Motors,Nissan,March,2017,2500,Hybrid,Manual,97475,Sedan,Silver,Female,50,Leasing,Ceylinco Insurance,8514460.27,0.026,8295151.89,8,2023,3
32,2022-01-26,Jaffna Vehicle Center,Toyota,Hilux,2016,2000,Hybrid,Automatic,102366,Pickup,White,Female,25,Bank Loan,Sri Lanka Insurance,13099239.13,0.037,12611743.09,5,2022,1
33,2022-08-04,Kandy Motors,Nissan,Navara,2017,1300,Electric,Automatic,129036,SUV,Black,Male,53,Leasing,None,4070718.92,0.045,3886676.1,5,2022,8
34,2022-06-13,Colombo Auto Hub,Hyundai,Tucson,2019,1800,Petrol,Automatic,91259,SUV,Blue,Female,51,Cash,HNB Assurance,14356307.66,0.078,13233048.46,5,2022,6
35,2023-06-17,Colombo Auto Hub,Nissan,Leaf,2011,1000,Diesel,Manual,135208,Pickup,Black,Male,37,Cash,Ceylinco Insurance,8555593.93,0.061,8031141.26,4,2023,6
36,2022-04-06,Kandy Motors,Hyundai,Elantra,2012,2000,Petrol,Automatic,15684,SUV,White,Female,27,Leasing,Sri Lanka Insurance,4183471.58,0.024,4082284.07,7,2022,4
37,2022-08-04,Colombo Auto Hub,Mitsubishi,Outlander,2017,2000,Petrol,Manual,109618,SUV,Blue,Female,61,Bank Loan,Ceylinco Insurance,3715233.96,0.072,3448401.17,5,2022,8
38,2022-05-06,Galle Car Traders,Toyota,Hilux,2011,1500,Petrol,Automatic,30624,Pickup,Blue,Male,52,Cash,Sri Lanka Insurance,9199171.53,0.039,8841425.45,7,2022,5
39,2023-01-12,Jaffna Vehicle Center,Honda,CR-V,2012,2500,Petrol,Automatic,103369,Pickup,White,Female,57,Bank Loan,Sri Lanka Insurance,3984843.85,0.052,3775952.73,8,2023,1
40,2023-06-04,Galle Car Traders,Honda,Vezel,2022,2500,Petrol,Manual,70051,Hatchback,White,Male,46,Cash,None,4183969.3,0.046,3991265.64,3,2023,6
41,2023-04-21,Jaffna Vehicle Center,Suzuki,Wagon R,2016,1000,Hybrid,Automatic,63847,Sedan,Silver,Female,37,Cash,HNB Assurance,7111367.11,0.035,6859521.15,9,2023,4
42,2022-04-30,Kandy Motors,Nissan,March,2013,2000,Hybrid,Manual,112159,SUV,White,Female,47,Leasing,HNB Assurance,5076497.9,0.011,5021063.21,1,2022,4
43,2022-05-19,Negombo Auto World,Suzuki,Swift,2015,1500,Petrol,Manual,6094,Hatchback,Black,Male,29,Cash,None,11288294.17,0.072,10475061.83,9,2022,5
44,2022-05-10,Colombo Auto Hub,Hyundai,Santa Fe,2011,2000,Hybrid,Automatic,9355,Sedan,White,Female,46,Cash,Ceylinco Insurance,12594385.08,0.053,11924475.8,3,2022,5
45,2023-03-22,Galle Car Traders,Toyota,Corolla,2016,1500,Hybrid,Automatic,32417,Pickup,Red,Male,52,Cash,Sri Lanka Insurance,11185570.57,0.001,11169781.49,7,2023,3
46,2022-05-19,Jaffna Vehicle Center,Suzuki,Swift,2013,1000,Petrol,Manual,106301,Pickup,Blue,Male,39,Leasing,Sri Lanka Insurance,7656668.55,0.004,7623748.8,5,2022,5
47,2023-06-29,Colombo Auto Hub,Toyota,Aqua,2010,2500,Diesel,Manual,4935,Pickup,Blue,Female,52,Leasing,Sri Lanka Insurance,10540071.55,0.062,9887810.76,4,2023,6
48,2022-04-15,Galle Car Traders,Nissan,X-Trail,2017,1300,Electric,Automatic,68676,Pickup,Black,Male,46,Cash,None,6161837.65,0.056,5818737.1,4,2022,4
49,2023-04-09,Colombo Auto Hub,Honda,CR-V,2012,2000,Hybrid,Manual,96032,Pickup,Black,Male,41,Bank Loan,None,11220346.26,0.037,10802912.64,2,2023,4
50,2022-05-22,Negombo Auto World,Mitsubishi,Pajero,2014,1000,Electric,Manual,147337,SUV,White,Male,57,Bank Loan,Ceylinco Insurance,4251029.86,0.069,3959082.05,7,2022,5
51,2023-01-11,Colombo Auto Hub,Nissan,X-Trail,2012,2500,Electric,Automatic,24630,Sedan,White,Male,48,Leasing,None,13663675.98,0.016,13445589.33,4,2023,1
52,2022-02-08,Jaffna Vehicle Center,Suzuki,Alto,2019,1300,Petrol,Manual,30552,SUV,White,Male,40,Bank Loan,Sri Lanka Insurance,3932762.19,0.064,3680435.73,2,2022,2
53,2022-09-13,Jaffna Vehicle Center,Suzuki,Alto,2020,1800,Electric,Manual,134476,Sedan,White,Female,42,Bank Loan,HNB Assurance,12952674.71,0.005,12890405.76,3,2022,9
54,2023-04-08,Kandy Motors,Mitsubishi,Outlander,2020,1800,Electric,Manual,78573,SUV,Red,Female,59,Cash,HNB Assurance,12112351.89,0.061,11373304.92,5,2023,4
55,2022-10-04,Negombo Auto World,Toyota,Aqua,2015,1300,Hybrid,Manual,137946,Sedan,Red,Female,58,Cash,None,10376679.4,0.019,10176495.5,7,2022,10
56,2022-07-03,Jaffna Vehicle Center,Mitsubishi,Outlander,2015,2500,Hybrid,Automatic,2972,SUV,Red,Male,56,Cash,HNB Assurance,7566529.09,0.03,7341651.98,9,2022,7
57,2022-03-03,Kandy Motors,Suzuki,Swift,2019,1800,Diesel,Automatic,31348,SUV,Silver,Female,34,Leasing,HNB Assurance,7139631.07,0.069,6643763.83,3,2022,3
58,2022-09-20,Kandy Motors,Mitsubishi,Pajero,2012,1000,Hybrid,Manual,134150,Hatchback,Blue,Female,40,Cash,Ceylinco Insurance,7481295.75,0.015,7372526.61,4,2022,9
59,2022-09-07,Colombo Auto Hub,Mitsubishi,Outlander,2014,1800,Petrol,Automatic,24945,Hatchback,Blue,Male,38,Bank Loan,HNB Assurance,9684050.81,0.065,9057638.21,4,2022,9
60,2022-11-21,Colombo Auto Hub,Hyundai,Santa Fe,2010,1000,Petrol,Automatic,142500,Pickup,Blue,Female,51,Cash,Ceylinco Insurance,9542283.55,0.036,9201039.82,9,2022,11
61,2022-03-31,Jaffna Vehicle Center,Toyota,Aqua,2013,1800,Hybrid,Manual,25581,Hatchback,Blue,Female,44,Cash,Sri Lanka Insurance,7274462.95,0.072,6747992.68,2,2022,3
62,2022-03-07,Kandy Motors,Mitsubishi,Pajero,2018,1500,Diesel,Automatic,71870,Sedan,Silver,Female,27,Leasing,Sri Lanka Insurance,6213327.71,0.01,6153134.48,8,2022,3
63,2022-03-19,Colombo Auto Hub,Toyota,Vitz,2014,1300,Diesel,Automatic,14520,SUV,Silver,Female,43,Cash,Sri Lanka Insurance,5808973.66,0.068,5413096.77,9,2022,3
64,2023-01-15,Colombo Auto Hub,Honda,Vezel,2019,2500,Hybrid,Manual,17793,SUV,Blue,Male,64,Cash,None,11414606.77,0.054,10803602.83,9,2023,1
65,2022-10-30,Galle Car Traders,Honda,CR-V,2015,1300,Petrol,Manual,144327,Sedan,Red,Female,64,Leasing,Ceylinco Insurance,14295327.81,0.025,13931217.35,3,2022,10
66,2022-06-06,Jaffna Vehicle Center,Mitsubishi,Pajero,2014,2000,Electric,Manual,141215,Pickup,Red,Female,45,Leasing,Ceylinco Insurance,14417082.93,0.066,13471929.95,9,2022,6
67,2022-07-02,Kandy Motors,Toyota,Vitz,2021,1000,Hybrid,Manual,16590,SUV,Red,Female,48,Bank Loan,Ceylinco Insurance,14597068.97,0.005,14530357.55,6,2022,7
68,2023-06-18,Jaffna Vehicle Center,Mitsubishi,Lancer,2012,1000,Diesel,Automatic,47649,Hatchback,White,Male,35,Leasing,Ceylinco Insurance,10257115.08,0.013,10120865.8,4,2023,6
69,2022-01-14,Negombo Auto World,Honda,CR-V,2017,2500,Electric,Automatic,133299,Hatchback,Blue,Female,55,Leasing,Sri Lanka Insurance,10529161.01,0.019,10329697.05,3,2022,1
70,2022-01-10,Jaffna Vehicle Center,Nissan,X-Trail,2020,1800,Diesel,Manual,125770,Pickup,Black,Female,48,Leasing,Sri Lanka Insurance,8093068.18,0.072,7511203.9,8,2022,1
71,2022-10-04,Jaffna Vehicle Center,Honda,Civic,2017,1000,Petrol,Manual,28449,SUV,Silver,Female,40,Leasing,Ceylinco Insurance,13900061.25,0.036,13405121.74,8,2022,10
72,2022-06-04,Galle Car Traders,Toyota,Corolla,2016,1300,Diesel,Manual,12030,Sedan,Black,Male,62,Cash,Ceylinco Insurance,8793973.69,0.015,8661969.48,6,2022,6
73,2022-03-01,Colombo Auto Hub,Nissan,Navara,2021,1300,Electric,Manual,124666,Hatchback,Silver,Male,53,Bank Loan,HNB Assurance,7507536.06,0.047,7153150.36,6,2022,3
74,2023-03-27,Negombo Auto World,Toyota,Vitz,2019,2500,Petrol,Automatic,144409,Sedan,Blue,Female,27,Leasing,HNB Assurance,10319338.38,0.028,10030566.1,8,2023,3
75,2023-01-08,Jaffna Vehicle Center,Mitsubishi,Lancer,2021,2000,Electric,Manual,122133,Hatchback,Blue,Female,63,Cash,None,11884438.29,0.042,11384328.78,7,2023,1
76,2022-01-02,Kandy Motors,Hyundai,Elantra,2019,1300,Hybrid,Automatic,54220,Pickup,Blue,Male,30,Leasing,HNB Assurance,7742054.41,0.052,7342677.01,5,2022,1
77,2022-04-02,Kandy Motors,Nissan,Leaf,2016,1000,Diesel,Manual,90557,Sedan,Blue,Male,25,Leasing,Ceylinco Insurance,11379154.2,0.054,10769837.19,7,2022,4
78,2022-03-06,Galle Car Traders,Hyundai,Elantra,2017,2500,Diesel,Automatic,29585,Hatchback,Silver,Female,41,Bank Loan,Sri Lanka Insurance,6633789.77,0.072,6156795.51,3,2022,3
79,2022-07-11,Negombo Auto World,Nissan,Navara,2013,2000,Petrol,Automatic,8133,SUV,Black,Male,48,Bank Loan,Sri Lanka Insurance,10606253.77,0.03,10286072.09,4,2022,7
80,2022-12-09,Jaffna Vehicle Center,Hyundai,Tucson,2015,1800,Petrol,Manual,46892,SUV,White,Male,31,Cash,Ceylinco Insurance,11370087.2,0.071,10562589.41,3,2022,12
81,2022-02-16,Jaffna Vehicle Center,Hyundai,Santa Fe,2012,1000,Electric,Manual,44132,Pickup,Red,Female,31,Cash,Sri Lanka Insurance,5390436.9,0.006,5356782.7,7,2022,2
82,2022-01-19,Galle Car Traders,Suzuki,Swift,2019,1500,Petrol,Manual,147829,Pickup,Blue,Female,63,Cash,None,3306991.81,0.045,3159810.96,3,2022,1
83,2022-09-02,Colombo Auto Hub,Honda,Fit,2013,1500,Hybrid,Manual,19400,SUV,White,Male,55,Bank Loan,HNB Assurance,11471175.44,0.018,11268339.78,5,2022,9
84,2022-05-11,Colombo Auto Hub,Honda,CR-V,2012,2000,Petrol,Automatic,126930,SUV,Blue,Male,59,Cash,HNB Assurance,14537225.1,0.04,13953325.1,8,2022,5
85,2022-06-26,Galle Car Traders,Suzuki,Swift,2011,1000,Electric,Manual,84056,Pickup,Black,Male,34,Bank Loan,Sri Lanka Insurance,9886418.82,0.054,9355088.68,6,2022,6
86,2022-03-31,Jaffna Vehicle Center,Suzuki,Swift,2013,1000,Hybrid,Manual,84623,SUV,Blue,Female,45,Bank Loan,Sri Lanka Insurance,9295616.77,0.053,8806020.06,8,2022,3
87,2023-02-01,Galle Car Traders,Nissan,Navara,2011,1300,Hybrid,Automatic,121716,SUV,Red,Male,25,Leasing,Ceylinco Insurance,12963322.71,0.054,12262663.78,7,2023,2
88,2022-12-24,Galle Car Traders,Suzuki,Alto,2010,1300,Petrol,Automatic,148277,Sedan,Silver,Male,41,Cash,Sri Lanka Insurance,8624933.69,0.003,8598856.7,6,2022,12
89,2022-12-20,Jaffna Vehicle Center,Nissan,March,2014,2500,Petrol,Manual,31138,Pickup,Black,Male,50,Bank Loan,Sri Lanka Insurance,11908848.68,0.006,11835064.98,3,2022,12
90,2023-03-23,Jaffna Vehicle Center,Toyota,Hilux,2018,1800,Electric,Automatic,137607,Hatchback,Black,Female,58,Leasing,Ceylinco Insurance,4787474.84,0.069,4458671.49,7,2023,3
91,2023-04-18,Kandy Motors,Honda,CR-V,2016,2500,Electric,Manual,38245,Hatchback,Blue,Male,28,Bank Loan,HNB Assurance,8086054.15,0.027,7864828.45,9,2023,4
92,2022-04-04,Kandy Motors,Toyota,Aqua,2020,2500,Petrol,Manual,29294,SUV,Black,Female,33,Leasing,Ceylinco Insurance,3150973.13,0.02,3087243.23,4,2022,4
93,2022-04-08,Galle Car Traders,Nissan,March,2011,1300,Hybrid,Manual,84130,Sedan,White,Female,60,Cash,Ceylinco Insurance,12585984.72,0.076,11627574.69,3,2022,4
94,2023-02-12,Kandy Motors,Mitsubishi,Lancer,2014,1000,Petrol,Automatic,54137,SUV,Red,Female,47,Cash,Sri Lanka Insurance,6301484.94,0.032,6102575.75,8,2023,2
95,2022-06-03,Colombo Auto Hub,Honda,Civic,2016,1500,Electric,Automatic,130334,SUV,Red,Female,55,Cash,Ceylinco Insurance,14639880.29,0.077,13510213.52,6,2022,6
96,2022-07-21,Colombo Auto Hub,Hyundai,Tucson,2017,1800,Hybrid,Automatic,51001,SUV,White,Female,60,Leasing,Ceylinco Insurance,6777637.95,0.008,6726635.07,9,2022,7
97,2022-03-10,Kandy Motors,Toyota,Prius,2019,2500,Hybrid,Automatic,103191,Pickup,Red,Female,27,Bank Loan,Sri Lanka Insurance,11252385.87,0.042,10781592.77,6,2022,3
98,2023-06-16,Jaffna Vehicle Center,Nissan,Navara,2022,2500,Hybrid,Manual,37716,SUV,White,Male,62,Leasing,None,9098586.23,0.035,8778029.86,1,2023,6
99,2022-01-06,Kandy Motors,Toyota,Prius,2021,1800,Petrol,Manual,149465,Sedan,White,Female,30,Leasing,Sri Lanka Insurance,14863640.6,0.002,14834710.95,9,2022,1
100,2023-03-29,Jaffna Vehicle Center,Suzuki,Swift,2015,2500,Hybrid,Automatic,47520,SUV,White,Female,30,Leasing,None,2929072.05,0.013,2890876.74,1,2023,3
101,2023-01-09,Galle Car Traders,Honda,Vezel,2013,1300,Petrol,Manual,136611,Pickup,White,Male,52,Leasing,Sri Lanka Insurance,12009302.78,0.074,11125050.6,6,2023,1
102,2022-05-19,Colombo Auto Hub,Hyundai,Elantra,2016,2500,Diesel,Automatic,127826,Sedan,White,Male,42,Leasing,None,8365633.56,0.036,8066035.93,1,2022,5
103,2022-08-23,Kandy Motors,Hyundai,Elantra,2020,2500,Hybrid,Automatic,116115,Sedan,Silver,Female,64,Cash,None,6675438.94,0.031,6471121.44,7,2022,8
104,2022-11-03,Colombo Auto Hub,Mitsubishi,Lancer,2016,2000,Petrol,Automatic,97589,Hatchback,Silver,Male,42,Bank Loan,HNB Assurance,4529081.91,0.046,4320599.89,8,2022,11
105,2023-04-11,Negombo Auto World,Suzuki,Swift,2019,1000,Electric,Manual,126100,Sedan,Silver,Female,62,Leasing,None,14477516.51,0.048,13777132.0,7,2023,4
106,2022-02-17,Galle Car Traders,Hyundai,Tucson,2011,1500,Diesel,Manual,4137,Pickup,Silver,Male,28,Cash,Ceylinco Insurance,8180942.61,0.057,7715763.04,2,2022,2
107,2023-06-17,Colombo Auto Hub,Nissan,Navara,2012,1500,Petrol,Automatic,34225,Hatchback,Blue,Female,48,Cash,Sri Lanka Insurance,12085072.2,0.058,11386796.7,1,2023,6
108,2023-01-19,Jaffna Vehicle Center,Suzuki,Wagon R,2020,2000,Hybrid,Manual,44288,Sedan,Blue,Female,26,Cash,Ceylinco Insurance,6016071.77,0.06,5654503.14,2,2023,1
109,2022-09-24,Kandy Motors,Suzuki,Swift,2011,2500,Electric,Manual,22114,Sedan,Red,Male,39,Cash,Ceylinco Insurance,7479468.82,0.063,7007752.13,1,2022,9
110,2023-05-17,Jaffna Vehicle Center,Suzuki,Wagon R,2018,1800,Petrol,Manual,75374,Hatchback,Black,Male,46,Leasing,HNB Assurance,7770414.08,0.01,7692045.53,1,2023,5
111,2022-07-19,Colombo Auto Hub,Nissan,X-Trail,2011,1800,Electric,Automatic,1030,Pickup,Red,Male,25,Cash,HNB Assurance,9337431.98,0.039,8975574.07,3,2022,7
112,2022-10-12,Galle Car Traders,Mitsubishi,Pajero,2014,2500,Diesel,Manual,38285,Pickup,Black,Male,28,Bank Loan,None,4820444.61,0.044,4610721.5,7,2022,10
113,2022-11-12,Negombo Auto World,Nissan,March,2014,2500,Electric,Manual,78473,Sedan,Black,Female,25,Cash,Sri Lanka Insurance,9730061.56,0.034,9394735.64,6,2022,11
114,2023-04-10,Galle Car Traders,Hyundai,Santa Fe,2010,2500,Hybrid,Automatic,42251,Hatchback,Black,Male,53,Bank Loan,Ceylinco Insurance,7868279.34,0.07,7321335.73,2,2023,4
115,2022-06-04,Colombo Auto Hub,Toyota,Corolla,2019,1000,Hybrid,Manual,89085,Hatchback,Blue,Male,57,Leasing,Ceylinco Insurance,13654158.27,0.028,13269167.9,1,2022,6
116,2023-02-02,Galle Car Traders,Suzuki,Swift,2013,2000,Hybrid,Manual,140053,Hatchback,Black,Male,53,Cash,None,5702812.3,0.071,5295307.0,3,2023,2
117,2023-03-06,Colombo Auto Hub,Nissan,X-Trail,2017,2000,Hybrid,Automatic,127460,Hatchback,Blue,Male,29,Bank Loan,Ceylinco Insurance,8319980.91,0.001,8314655.06,7,2023,3
118,2022-11-01,Galle Car Traders,Honda,Civic,2018,1500,Electric,Manual,62891,Hatchback,Red,Female,61,Bank Loan,None,13835550.19,0.051,13123437.71,2,2022,11
119,2023-03-15,Colombo Auto Hub,Hyundai,Elantra,2018,1800,Diesel,Automatic,59548,Sedan,White,Female,46,Bank Loan,None,14677571.24,0.014,14473773.85,9,2023,3
120,2023-03-22,Negombo Auto World,Toyota,Hilux,2014,2000,Diesel,Manual,70014,Pickup,White,Male,44,Bank Loan,None,11442593.77,0.035,11045141.79,8,2023,3
121,2022-05-15,Galle Car Traders,Nissan,Navara,2020,2000,Petrol,Manual,19298,Sedan,Blue,Female,25,Leasing,HNB Assurance,6800786.36,0.059,6397956.28,7,2022,5
122,2022-04-10,Jaffna Vehicle Center,Hyundai,Elantra,2017,1300,Hybrid,Automatic,62530,Pickup,Black,Female,42,Cash,Ceylinco Insurance,8657701.19,0.053,8198518.48,3,2022,4
123,2022-06-27,Jaffna Vehicle Center,Hyundai,Tucson,2010,1000,Hybrid,Manual,137370,SUV,Red,Male,53,Cash,HNB Assurance,12769312.25,0.013,12609628.44,2,2022,6
124,2022-05-27,Negombo Auto World,Toyota,Aqua,2011,2500,Petrol,Automatic,143302,Pickup,Red,Female,56,Cash,Sri Lanka Insurance,14077013.52,0.021,13778690.78,4,2022,5
125,2023-06-18,Galle Car Traders,Suzuki,Swift,2012,2000,Electric,Manual,117197,Pickup,Silver,Female,39,Bank Loan,None,12653556.82,0.032,12250785.72,3,2023,6
126,2022-06-14,Kandy Motors,Hyundai,Elantra,2015,1800,Diesel,Manual,141986,SUV,Black,Female,52,Leasing,HNB Assurance,8775333.75,0.035,8466168.1,2,2022,6
127,2023-05-01,Jaffna Vehicle Center,Nissan,March,2022,1000,Hybrid,Manual,2797,SUV,Silver,Female,46,Cash,Ceylinco Insurance,11340718.21,0.021,11101306.39,5,2023,5
128,2022-07-19,Colombo Auto Hub,Nissan,Leaf,2019,1300,Petrol,Automatic,4089,Hatchback,Blue,Female,26,Bank Loan,Sri Lanka Insurance,6488930.05,0.051,6159835.36,1,2022,7
129,2022-04-25,Negombo Auto World,Toyota,Vitz,2010,2000,Diesel,Automatic,101898,Hatchback,Blue,Female,59,Bank Loan,Sri Lanka Insurance,11640443.23,0.046,11103848.53,3,2022,4
130,2022-04-24,Kandy Motors,Suzuki,Alto,2017,1800,Hybrid,Automatic,31986,Pickup,Silver,Female,49,Bank Loan,Sri Lanka Insurance,10079201.22,0.045,9628440.03,5,2022,4
131,2022-01-12,Colombo Auto Hub,Mitsubishi,Outlander,2019,1000,Hybrid,Manual,52151,SUV,Black,Female,32,Bank Loan,HNB Assurance,12412151.9,0.049,11804370.52,9,2022,1
132,2023-05-30,Kandy Motors,Mitsubishi,Pajero,2016,1000,Hybrid,Manual,12899,Hatchback,Blue,Female,62,Cash,Sri Lanka Insurance,3375607.42,0.07,3138853.13,7,2023,5
133,2022-02-07,Galle Car Traders,Honda,Fit,2020,2000,Diesel,Manual,25748,Sedan,Black,Female,48,Leasing,Ceylinco Insurance,12163440.98,0.044,11630462.55,6,2022,2
134,2022-10-01,Jaffna Vehicle Center,Toyota,Prius,2017,1300,Diesel,Automatic,61341,Hatchback,White,Female,40,Bank Loan,Sri Lanka Insurance,8507745.29,0.021,8325063.04,1,2022,10
135,2023-06-02,Kandy Motors,Nissan,March,2018,2500,Hybrid,Manual,6516,Hatchback,Silver,Male,53,Cash,HNB Assurance,8217664.72,0.006,8171389.66,3,2023,6
136,2022-10-14,Negombo Auto World,Toyota,Vitz,2019,2000,Electric,Manual,73177,Pickup,Red,Male,51,Bank Loan,None,6721890.78,0.046,6409809.99,4,2022,10
137,2022-08-28,Jaffna Vehicle Center,Nissan,March,2016,1300,Petrol,Manual,44263,Pickup,Black,Male,45,Leasing,None,5244061.24,0.077,4842537.76,8,2022,8
138,2022-05-12,Jaffna Vehicle Center,Toyota,Vitz,2016,2500,Hybrid,Automatic,114849,Sedan,Silver,Female,35,Cash,HNB Assurance,4727421.18,0.074,4379528.09,8,2022,5
139,2023-06-26,Kandy Motors,Nissan,Leaf,2022,1300,Diesel,Automatic,138128,Sedan,Black,Female,64,Bank Loan,None,13201882.63,0.066,12328526.95,1,2023,6
140,2022-09-17,Kandy Motors,Nissan,Navara,2018,1300,Hybrid,Automatic,100072,Sedan,Blue,Male,39,Cash,HNB Assurance,2516591.61,0.03,2439903.73,8,2022,9
